file,size,title,internal_links,http_links,math_blocks,latex_inline,total_links
relativity-living-light-main/docs/canonicos/00_COMO_LER.md,13012,🌀 COMO LER ESTE REPOSITÓRIO,0,0,0,0,0
relativity-living-light-main/docs/DOCUMENTATION_FULL_INVENTORY.md,12907,Inventário Completo de Documentação e Bundles,0,0,0,0,0
relativity-living-light-main/docs/ANALISE_ARTIGO_NATURE_PT.md,12906,Análise do Artigo Nature: Não-Localidade Fotônica e Cosmologia,5,0,0,0,5
relativity-living-light-main/docs/REFERENCES.md,12511,References: Photonic Cosmology Framework,0,0,0,0,0
relativity-living-light-main/docs/ANALYSIS_INDEX.md,12378,Analysis Index: Nature Article & Relativity Living Light Model,33,0,0,0,33
relativity-living-light-main/RMR/02_CODIGO_README.md,11279,💻 02_CODIGO_NUMERICO — Solvers e Ferramentas,1,0,0,0,1
relativity-living-light-main/docs/RELEASE_NOTES_HISTORY.md,10789,Histórico de Updates e Release Notes,10,36,0,0,46
relativity-living-light-main/docs/canonicos/09_GLOSSARIO_COMPLETO.md,10284,📚 GLOSSÁRIO COMPLETO DE NOTAÇÃO,0,0,0,0,0
relativity-living-light-main/RESUMO_REFORMA.md,9814,✨ RESUMO DA REFORMA RAFAELIA — Relativity Living Light,0,0,0,0,0
relativity-living-light-main/README_MASTER.md,9794,🌌 Relativity Living Light — README MASTER,42,3,0,0,45
relativity-living-light-main/RMR/INDICE_MAESTRO.md,9268,🗺️ ÍNDICE MAESTRO — Mapa Completo do Repositório,0,0,0,0,0
relativity-living-light-main/docs/COMPLETION_SUMMARY.md,8630,Task Completion Summary: Nature Article Analysis,0,0,0,0,0
relativity-living-light-main/RMR/04_FIGURAS_README.md,8578,🖼️ 04_FIGURAS — Visualizações e Gráficos,0,0,0,0,0
relativity-living-light-main/README.md,8368,Relativity Living Light,44,2,2,0,46
relativity-living-light-main/docs/Others in line.md,8216,,0,0,0,2,0
relativity-living-light-main/LICENSE.md,8176,,0,0,0,0,0
relativity-living-light-main/docs/New theory and beyond.md,8042,Comparação com ΛCDM e Previsões,0,0,0,0,0
relativity-living-light-main/ANALISE_COMPLETA/00_INDICE_MESTRE.md,7866,Análise Completa do Repositório Relativity Living Light,18,1,0,0,19
relativity-living-light-main/RMR/08_RAFAELIA_README.md,7634,"♾️ 08_RAFAELIA_INTEGRACAO — Símbolo, Verbo e Física Viva",0,0,0,0,0
relativity-living-light-main/news/archive_legacy/09_GLOSSARIO_COMPLETO.md,7087,09 — GLOSSÁRIO COMPLETO,0,1,0,0,1
relativity-living-light-main/news/archive_legacy/1/09_GLOSSARIO_COMPLETO.md,7087,09 — GLOSSÁRIO COMPLETO,0,1,0,0,1
relativity-living-light-main/SECURITY_SUMMARY.md,6920,🔒 Security Summary — RAFAELIA Repository Restructuring,0,0,0,0,0
relativity-living-light-main/news/archive_legacy/1/10_FAQ_COMPLETO.md,6843,10 — FAQ COMPLETO,0,0,0,0,0
relativity-living-light-main/news/archive_legacy/10_FAQ_COMPLETO.md,6843,10 — FAQ COMPLETO,0,0,0,0,0
relativity-living-light-main/docs/numeros_rafaelianos/Readme.md,6771,,0,0,0,0,0
relativity-living-light-main/docs/Conclusion.md,6725,RAFAELIA — Relativity Living Light,0,0,0,0,0
relativity-living-light-main/docs/README_CIENTIFICO.md,6718,Relativity Living Light — Modelo Cosmológico de Superposição Dinâmica,0,1,0,0,1
relativity-living-light-main/docs/PERTURBACOES_CRESCIMENTO.md,6542,Perturbações e Crescimento Estrutural,0,0,0,2,0
relativity-living-light-main/ANALISE_COMPLETA/README.md,6482,ANALISE_COMPLETA / Comprehensive Repository Analysis,18,4,0,0,22
relativity-living-light-main/docs/MANIFESTO.md,6364,MANIFESTO.md (multilingue),0,0,0,0,0
relativity-living-light-main/docs/SUPREMO UNIFICADO.md,6129,,0,0,0,0,0
relativity-living-light-main/docs/POST_PHD_FORMAL_GAP_ANALYSIS.md,6088,Análise de Lacunas — RLL para padrão pós-PhD formal/profissional,0,0,0,0,0
relativity-living-light-main/docs/ESTABILIDADE_GHOST_CHECK.md,5838,Verificação de Estabilidade — Ausência de Ghosts e Taquiões,0,0,0,0,0
relativity-living-light-main/docs/COMPARACAO_DESI_2025.md,5778,Comparação com Literatura Acadêmica 2025–2026,0,0,0,0,0
relativity-living-light-main/news/archive_legacy/11_DOCUMENTO_PRIORIDADE.md,5559,11 — DOCUMENTO DE PRIORIDADE,0,0,0,0,0
relativity-living-light-main/news/archive_legacy/1/11_DOCUMENTO_PRIORIDADE.md,5559,11 — DOCUMENTO DE PRIORIDADE,0,0,0,0,0
relativity-living-light-main/docs/LAGRANGIANO_EFT.md,4798,Lagrangiano Efetivo — EFT da Superposição,0,0,0,0,0
relativity-living-light-main/docs/DOCUMENTATION_ORGANIZATION_MASTER.md,4775,Organização Integral de Documentação e Artefatos,3,0,0,0,3
relativity-living-light-main/docs/ZIP_CONTENT_INDEX.md,4557,Índice Técnico de Conteúdo dos Bundles ZIP,0,0,0,0,0
